hour,time
639,H11
640,H11
641,H11
642,H12
643,H12
644,H12
645,H12
646,H12
647,H9
648,H9
649,H9
650,H9
651,H9
652,H9
653,H9
654,H9
655,H10
656,H10
657,H10
658,H10
659,H10
660,H10
661,H10
662,H11
663,H11
664,H11
665,H11
666,H12
667,H12
668,H12
669,H12
670,H12
671,H9
672,H9
673,H9
674,H9
675,H9
676,H9
677,H9
678,H9
679,H10
680,H10
681,H10
682,H10
683,H10
684,H10
685,H10
686,H11
687,H11
688,H11
689,H11
690,H12
691,H12
692,H12
693,H12
694,H12
695,H9
696,H9
697,H9
698,H9
699,H9
700,H9
701,H9
702,H9
703,H10
704,H10
705,H10
706,H10
707,H10
708,H10
709,H10
710,H11
711,H11
712,H11
713,H11
714,H12
715,H12
716,H12
717,H12
718,H12
719,H9
720,H9
721,H9
722,H9
723,H9
724,H9
725,H9
726,H9
727,H10
728,H10
729,H10
730,H10
731,H10
732,H10
733,H10
734,H11
735,H11
736,H11
737,H11
738,H12
739,H12
740,H12
741,H12
742,H12
743,H9
744,H9
745,H9
746,H9
747,H9
748,H9
749,H9
750,H9
751,H10
752,H10
753,H10
754,H10
755,H10
756,H10
757,H10
758,H11
759,H11
760,H11
761,H11
762,H12
763,H12
764,H12
765,H12
766,H12
767,H9
768,H9
769,H9
770,H9
771,H9
772,H9
773,H9
774,H9
775,H10
776,H10
777,H10
778,H10
779,H10
780,H10
781,H10
782,H11
783,H11
784,H11
785,H11
786,H12
787,H12
788,H12
789,H12
790,H12
791,H9
792,H9
793,H9
794,H9
795,H9
796,H9
797,H9
798,H9
799,H10
800,H10
801,H10
802,H10
803,H10
804,H10
805,H10
806,H11
807,H11
808,H11
809,H11
810,H12
811,H12
812,H12
813,H12
814,H12
815,H9
816,H9
817,H9
818,H9
819,H9
820,H9
821,H9
822,H9
823,H10
824,H10
825,H10
826,H10
827,H10
828,H10
829,H10
830,H11
831,H11
832,H11
833,H11
834,H12
835,H12
836,H12
837,H12
838,H12
839,H9
840,H9
841,H9
842,H9
843,H9
844,H9
845,H9
846,H9
847,H10
848,H10
849,H10
850,H10
851,H10
852,H10
853,H10
854,H11
855,H11
856,H11
857,H11
858,H12
859,H12
860,H12
861,H12
862,H12
863,H9
864,H9
865,H9
866,H9
867,H9
868,H9
869,H9
870,H9
871,H10
872,H10
873,H10
874,H10
875,H10
876,H10
877,H10
878,H11
879,H11
880,H11
881,H11
882,H12
883,H12
884,H12
885,H12
886,H12
887,H9
888,H9
889,H9
890,H9
891,H9
892,H9
893,H9
894,H9
895,H10
896,H10
897,H10
898,H10
899,H10
900,H10
